部门名称,部门表数量,前置机名称,前置机表数量,前置仓名称,前置仓表数量,贴源层名称,贴源层表数量
交通运输厅,82,149,82,前置仓,82,贴源层,82
人力资源社会保障厅,254,143,254,前置仓,254,贴源层,254
住房城乡建设厅,90,137,90,前置仓,90,贴源层,90
公安厅,15,150,15,前置仓,15,贴源层,15
农业农村厅,18,139,18,前置仓,18,贴源层,18
司法厅,11,153,11,前置仓,11,贴源层,11
四川省税务局,30,146,30,前置仓,30,贴源层,30
应急管理厅,43,141,43,前置仓,43,贴源层,43
政务服务和资源交易服务中心,34,144,34,前置仓,34,贴源层,34
教育厅,94,178,94,前置仓,94,贴源层,94
文化和旅游厅,9,138,9,前置仓,9,贴源层,9
民政厅,14,166,14,前置仓,14,贴源层,14
水利厅,33,132,33,前置仓,33,贴源层,33
消防救援总队,38,141,38,前置仓,38,贴源层,38
生态环境厅,59,203,59,前置仓,59,贴源层,59
省中医药局,2,148,2,前置仓,2,贴源层,2
省体育局,15,133,15,前置仓,15,贴源层,15
省信访局,4,137,4,前置仓,4,贴源层,4
省医保局,25,139,25,前置仓,25,贴源层,25
省卫生健康委,56,140,56,前置仓,56,贴源层,56
省发展改革委,11,135,11,前置仓,11,贴源层,11
省国资委,15,136,15,前置仓,15,贴源层,15
省地方金融管理局,52,149,52,前置仓,52,贴源层,52
省地震局,7,139,7,前置仓,7,贴源层,7
省委编办,2,143,2,前置仓,2,贴源层,2
省市场监管局,36,151,36,前置仓,36,贴源层,36
省广电局,6,141,6,前置仓,6,贴源层,6
省文物局,16,134,16,前置仓,16,贴源层,16
省机关事务管理局,5,144,5,前置仓,5,贴源层,5
省残联,4,149,4,前置仓,4,贴源层,4
省民族宗教委,28,140,28,前置仓,28,贴源层,28
省法院,6,133,6,前置仓,6,贴源层,6
省测绘地理信息局,14,132,14,前置仓,14,贴源层,14
省烟草专卖局,1,149,1,前置仓,1,贴源层,1
省粮食和储备局,31,134,31,前置仓,31,贴源层,31
省统计局,3,133,3,前置仓,3,贴源层,3
省药监局,39,141,39,前置仓,39,贴源层,39
省贸促会,4,145,4,前置仓,4,贴源层,4
省通信管理局,3,167,3,前置仓,3,贴源层,3
科技厅,18,141,18,前置仓,18,贴源层,18
经济和信息化厅,7,138,7,前置仓,7,贴源层,7
自然资源厅,19,139,19,前置仓,19,贴源层,19
财政厅,22,144,22,前置仓,22,贴源层,22
退役军人事务厅,2,144,2,前置仓,2,贴源层,2
省委宣传部(省电影局),0,136,0,前置仓,0,贴源层,0
